title,author,isbn,year,category,rating,description
DD Book 000,DD Author 000,6003746317213,1953,Biography,3.5,Data-driven row 0: a biography book by DD Author 000.
DD Book 001,DD Author 001,6013342331444,2004,Fiction,3.1,Data-driven row 1: a fiction book by DD Author 001.
DD Book 002,DD Author 002,6021939042955,2014,Fiction,4.1,Data-driven row 2: a fiction book by DD Author 002.
DD Book 003,DD Author 003,6032801823908,2007,Biography,4.6,Data-driven row 3: a biography book by DD Author 003.
DD Book 004,DD Author 004,6044460967357,2004,History,3.6,Data-driven row 4: a history book by DD Author 004.
DD Book 005,DD Author 005,6058574149614,1963,Mystery,3.8,Data-driven row 5: a mystery book by DD Author 005.
DD Book 006,DD Author 006,6069776552803,2008,Mystery,4.9,Data-driven row 6: a mystery book by DD Author 006.
DD Book 007,DD Author 007,6072625792787,2020,Biography,4.7,Data-driven row 7: a biography book by DD Author 007.
DD Book 008,DD Author 008,6088995970241,2023,Fantasy,4.4,Data-driven row 8: a fantasy book by DD Author 008.
DD Book 009,DD Author 009,6099786748825,1979,Biography,5.0,Data-driven row 9: a biography book by DD Author 009.
DD Book 010,DD Author 010,6104673561638,1962,Classic,3.6,Data-driven row 10: a classic book by DD Author 010.
DD Book 011,DD Author 011,6112566942273,1997,History,3.4,Data-driven row 11: a history book by DD Author 011.
DD Book 012,DD Author 012,6123783290795,1971,Fantasy,3.3,Data-driven row 12: a fantasy book by DD Author 012.
DD Book 013,DD Author 013,6136924716023,2021,Fantasy,4.4,Data-driven row 13: a fantasy book by DD Author 013.
DD Book 014,DD Author 014,6144332894265,1979,Fiction,4.6,Data-driven row 14: a fiction book by DD Author 014.
DD Book 015,DD Author 015,6157017956955,1958,Fantasy,4.8,Data-driven row 15: a fantasy book by DD Author 015.
DD Book 016,DD Author 016,6168378385615,1977,Romance,3.8,Data-driven row 16: a romance book by DD Author 016.
DD Book 017,DD Author 017,6172970753705,1983,Sci-Fi,3.5,Data-driven row 17: a sci-fi book by DD Author 017.
DD Book 018,DD Author 018,6187805745017,2024,Classic,3.7,Data-driven row 18: a classic book by DD Author 018.
DD Book 019,DD Author 019,6193119634399,1956,Mystery,3.3,Data-driven row 19: a mystery book by DD Author 019.
DD Book 020,DD Author 020,6208217611860,1958,Classic,3.8,Data-driven row 20: a classic book by DD Author 020.
DD Book 021,DD Author 021,6219573276057,2017,Biography,4.9,Data-driven row 21: a biography book by DD Author 021.
DD Book 022,DD Author 022,6229639245200,1964,Biography,4.5,Data-driven row 22: a biography book by DD Author 022.
DD Book 023,DD Author 023,6232461042543,1987,Classic,3.3,Data-driven row 23: a classic book by DD Author 023.
DD Book 024,DD Author 024,6248385972235,2014,Sci-Fi,4.0,Data-driven row 24: a sci-fi book by DD Author 024.
DD Book 025,DD Author 025,6257980611182,2014,Fantasy,3.3,Data-driven row 25: a fantasy book by DD Author 025.
DD Book 026,DD Author 026,6264274958945,2019,Fiction,4.2,Data-driven row 26: a fiction book by DD Author 026.
DD Book 027,DD Author 027,6273098545541,1964,History,4.8,Data-driven row 27: a history book by DD Author 027.
DD Book 028,DD Author 028,6282320763135,1957,Fantasy,4.8,Data-driven row 28: a fantasy book by DD Author 028.
DD Book 029,DD Author 029,6295067116918,1960,Romance,4.6,Data-driven row 29: a romance book by DD Author 029.
DD Book 030,DD Author 030,6301540137296,2010,Sci-Fi,3.5,Data-driven row 30: a sci-fi book by DD Author 030.
DD Book 031,DD Author 031,6316633778586,1997,Romance,4.8,Data-driven row 31: a romance book by DD Author 031.
DD Book 032,DD Author 032,6322939118223,1981,Fantasy,3.1,Data-driven row 32: a fantasy book by DD Author 032.
DD Book 033,DD Author 033,6339680276057,2020,Fantasy,4.2,Data-driven row 33: a fantasy book by DD Author 033.
DD Book 034,DD Author 034,6341030884438,1957,Fantasy,3.1,Data-driven row 34: a fantasy book by DD Author 034.
DD Book 035,DD Author 035,6352419179580,2015,Fantasy,3.6,Data-driven row 35: a fantasy book by DD Author 035.
DD Book 036,DD Author 036,6363084839399,2019,Sci-Fi,4.4,Data-driven row 36: a sci-fi book by DD Author 036.
DD Book 037,DD Author 037,6377769777475,1981,Romance,4.6,Data-driven row 37: a romance book by DD Author 037.
DD Book 038,DD Author 038,6381817804383,1962,Classic,3.7,Data-driven row 38: a classic book by DD Author 038.
DD Book 039,DD Author 039,6397060638140,1956,Mystery,3.1,Data-driven row 39: a mystery book by DD Author 039.
DD Book 040,DD Author 040,6408422620843,1963,Fantasy,3.4,Data-driven row 40: a fantasy book by DD Author 040.
DD Book 041,DD Author 041,6417598297060,1967,Classic,3.4,Data-driven row 41: a classic book by DD Author 041.
DD Book 042,DD Author 042,6422986972437,1959,Romance,4.6,Data-driven row 42: a romance book by DD Author 042.
DD Book 043,DD Author 043,6431420514789,2019,Fiction,4.9,Data-driven row 43: a fiction book by DD Author 043.
DD Book 044,DD Author 044,6444645120421,1971,Classic,4.0,Data-driven row 44: a classic book by DD Author 044.
DD Book 045,DD Author 045,6451251837136,1998,Fiction,5.0,Data-driven row 45: a fiction book by DD Author 045.
DD Book 046,DD Author 046,6467249213370,2004,Romance,3.3,Data-driven row 46: a romance book by DD Author 046.
DD Book 047,DD Author 047,6472274350418,1957,Fiction,4.5,Data-driven row 47: a fiction book by DD Author 047.
DD Book 048,DD Author 048,6481245522987,2024,Romance,4.0,Data-driven row 48: a romance book by DD Author 048.
DD Book 049,DD Author 049,6491676168421,2015,Mystery,4.7,Data-driven row 49: a mystery book by DD Author 049.
DD Book 050,DD Author 050,6509884231465,1958,Fantasy,3.8,Data-driven row 50: a fantasy book by DD Author 050.
DD Book 051,DD Author 051,6513446737272,2024,Fiction,4.2,Data-driven row 51: a fiction book by DD Author 051.
DD Book 052,DD Author 052,6527540301973,1983,Fantasy,4.3,Data-driven row 52: a fantasy book by DD Author 052.
DD Book 053,DD Author 053,6532349409434,1983,Classic,3.3,Data-driven row 53: a classic book by DD Author 053.
DD Book 054,DD Author 054,6548067372072,2008,History,4.9,Data-driven row 54: a history book by DD Author 054.
DD Book 055,DD Author 055,6555018948187,1951,Romance,4.2,Data-driven row 55: a romance book by DD Author 055.
DD Book 056,DD Author 056,6561429416213,2018,Fantasy,4.0,Data-driven row 56: a fantasy book by DD Author 056.
DD Book 057,DD Author 057,6576344160868,1986,Sci-Fi,3.9,Data-driven row 57: a sci-fi book by DD Author 057.
DD Book 058,DD Author 058,6583271782991,2020,Biography,4.9,Data-driven row 58: a biography book by DD Author 058.
DD Book 059,DD Author 059,6594771526597,1983,Mystery,4.8,Data-driven row 59: a mystery book by DD Author 059.
DD Book 060,DD Author 060,6605962610986,1986,Fantasy,4.4,Data-driven row 60: a fantasy book by DD Author 060.
DD Book 061,DD Author 061,6617393195616,1956,Mystery,4.3,Data-driven row 61: a mystery book by DD Author 061.
DD Book 062,DD Author 062,6628856990236,1955,Fiction,3.7,Data-driven row 62: a fiction book by DD Author 062.
DD Book 063,DD Author 063,6639503167458,1970,Romance,4.1,Data-driven row 63: a romance book by DD Author 063.
DD Book 064,DD Author 064,6641041531046,1959,Sci-Fi,4.1,Data-driven row 64: a sci-fi book by DD Author 064.
